results_type,environment,inter_site_distance_m,site_area_km2,sites_per_km2,frequency_GHz,bandwidth_MHz,number_of_sectors,generation,ant_type,transmission_type,path_loss_dB,received_power_dBm,interference_dBm,sinr_dB,spectral_efficiency_bps_hz,capacity_mbps,capacity_mbps_km2
10_percentile,urban,10400,93.66930767332488,0.010675855569334796,0.8,10,3,4G,macro,1x1,142.0,-111.0,-101.25924267669222,-12.7,0.0,0.0,0.0
10_percentile,urban,10400,93.66930767332488,0.010675855569334796,2.6,10,3,4G,macro,1x1,151.0,-118.0,-111.29627884007299,-15.52,0.0,0.0,0.0
10_percentile,urban,10400,93.66930767332488,0.010675855569334796,3.5,50,3,5G,macro,8x8,152.0,-119.0,-114.99978290702776,-23.51,0.0,0.0,0.0
10_percentile,urban,10400,93.66930767332488,0.010675855569334796,3.7,50,3,5G,macro,8x8,154.0,-121.0,-114.99783393824349,-25.51,0.0,0.0,0.0
10_percentile,urban,10400,93.66930767332488,0.010675855569334796,26,500,3,5G,macro,8x8,171.0,-138.0,-131.29627884007297,-52.50999999999999,0.0,0.0,0.0
10_percentile,urban,11200,108.63422665071997,0.009205201996008066,0.7,10,3,5G,macro,8x8,141.0,-106.0,-102.99978290702776,-8.7,0.0,0.0,0.0
10_percentile,urban,11200,108.63422665071997,0.009205201996008066,0.8,10,3,4G,macro,1x1,143.0,-109.0,-102.25606058285881,-10.0,0.0,0.0,0.0
10_percentile,urban,11200,108.63422665071997,0.009205201996008066,2.6,10,3,4G,macro,1x1,152.0,-116.0,-112.29627884007299,-13.52,0.0,0.0,0.0
10_percentile,urban,11200,108.63422665071997,0.009205201996008066,3.5,50,3,5G,macro,8x8,153.0,-118.0,-115.99978290702776,-22.51,0.0,0.0,0.0
10_percentile,urban,11200,108.63422665071997,0.009205201996008066,3.7,50,3,5G,macro,8x8,155.0,-120.0,-115.99783393824349,-24.51,0.0,0.0,0.0
10_percentile,urban,11200,108.63422665071997,0.009205201996008066,26,500,3,5G,macro,8x8,172.0,-136.0,-132.29627884007297,-50.50999999999999,0.0,0.0,0.0
10_percentile,urban,12000,124.70765814495915,0.008018753738744803,0.7,10,3,5G,macro,8x8,141.0,-106.0,-103.99783393824349,-7.7,0.0,0.0,0.0
10_percentile,urban,12000,124.70765814495915,0.008018753738744803,0.8,10,3,4G,macro,1x1,143.0,-110.0,-103.25570701687732,-8.77,0.0,0.0,0.0
10_percentile,urban,12000,124.70765814495915,0.008018753738744803,2.6,10,3,4G,macro,1x1,153.0,-117.0,-113.25924267669222,-14.52,0.0,0.0,0.0
10_percentile,urban,12000,124.70765814495915,0.008018753738744803,3.5,50,3,5G,macro,8x8,154.0,-118.0,-116.99978290702776,-22.51,0.0,0.0,0.0
10_percentile,urban,12000,124.70765814495915,0.008018753738744803,3.7,50,3,5G,macro,8x8,156.0,-120.0,-116.29242982390207,-24.51,0.0,0.0,0.0
10_percentile,urban,12000,124.70765814495915,0.008018753738744803,26,500,3,5G,macro,8x8,173.0,-137.0,-133.25924267669222,-51.51,0.0,0.0,0.0
10_percentile,urban,12800,141.88960215604243,0.007047732778193674,0.7,10,3,5G,macro,8x8,141.0,-106.0,-104.99783393824347,-4.92,0.0,0.0,0.0
10_percentile,urban,12800,141.88960215604243,0.007047732778193674,0.8,10,3,4G,macro,1x1,143.0,-109.0,-103.99978290702776,-6.92,0.0,0.0,0.0
10_percentile,urban,12800,141.88960215604243,0.007047732778193674,2.6,10,3,4G,macro,1x1,153.0,-116.1,-114.25924267669222,-13.619999999999997,0.0,0.0,0.0
10_percentile,urban,12800,141.88960215604243,0.007047732778193674,3.5,50,3,5G,macro,8x8,155.0,-118.0,-117.99783393824349,-22.51,0.0,0.0,0.0
10_percentile,urban,12800,141.88960215604243,0.007047732778193674,3.7,50,3,5G,macro,8x8,156.0,-119.1,-117.25924267669222,-23.61,0.0,0.0,0.0
10_percentile,urban,12800,141.88960215604243,0.007047732778193674,26,500,3,5G,macro,8x8,173.0,-136.1,-134.25924267669222,-50.60999999999999,0.0,0.0,0.0
10_percentile,urban,13600,160.18005868396978,0.006242974364074673,0.7,10,3,5G,macro,8x8,142.0,-106.0,-105.25924267669222,-4.58,0.0,0.0,0.0
10_percentile,urban,13600,160.18005868396978,0.006242974364074673,0.8,10,3,4G,macro,1x1,143.0,-109.0,-104.99783393824347,-6.7,0.0,0.0,0.0
10_percentile,urban,13600,160.18005868396978,0.006242974364074673,2.6,10,3,4G,macro,1x1,153.9,-116.0,-115.25570701687732,-13.52,0.0,0.0,0.0
10_percentile,urban,13600,160.18005868396978,0.006242974364074673,3.5,50,3,5G,macro,8x8,156.0,-118.0,-118.29281472551915,-22.51,0.0,0.0,0.0
10_percentile,urban,13600,160.18005868396978,0.006242974364074673,3.7,50,3,5G,macro,8x8,157.0,-119.0,-118.25570701687732,-23.51,0.0,0.0,0.0
10_percentile,urban,13600,160.18005868396978,0.006242974364074673,26,500,3,5G,macro,8x8,173.9,-136.0,-135.25570701687732,-50.50999999999999,0.0,0.0,0.0
10_percentile,urban,14400,179.5790277287412,0.005568578985239446,0.7,10,3,5G,macro,8x8,142.0,-105.0,-106.25570701687732,-3.7299999999999995,0.0,0.0,0.0
10_percentile,urban,14400,179.5790277287412,0.005568578985239446,0.8,10,3,4G,macro,1x1,143.0,-108.1,-105.26256139141321,-5.781999999999998,0.0,0.0,0.0
10_percentile,urban,14400,179.5790277287412,0.005568578985239446,2.6,10,3,4G,macro,1x1,153.0,-116.0,-115.99978290702776,-13.52,0.0,0.0,0.0
10_percentile,urban,14400,179.5790277287412,0.005568578985239446,3.5,50,3,5G,macro,8x8,156.0,-117.1,-119.25924267669222,-21.61,0.0,0.0,0.0
10_percentile,urban,14400,179.5790277287412,0.005568578985239446,3.7,50,3,5G,macro,8x8,156.0,-119.0,-118.99978290702776,-23.51,0.0,0.0,0.0
10_percentile,urban,14400,179.5790277287412,0.005568578985239446,26,500,3,5G,macro,8x8,173.0,-136.0,-135.99978290702776,-50.50999999999999,0.0,0.0,0.0
10_percentile,urban,15200,200.0865092903567,0.004997838202818783,0.7,10,3,5G,macro,8x8,142.0,-104.0,-106.99978290702776,-2.71,0.0,0.0,0.0
